name,gender,attendance_rate,avg_grade,absences_last_month,distance_km,num_siblings,fee_arrears,dropped_out
Vincent Mwangi,F,81.1,39.3,14,1.2,2,11312,0
Cynthia Nyambura,M,100.0,69.0,8,4.1,5,621,0
Caroline Mwangi,M,77.6,39.0,14,9.7,1,1768,0
Boniface Auma,F,78.9,46.8,0,9.0,3,2009,0
Naomi Auma,M,73.9,92.5,9,13.1,2,5031,0
Boniface Adhiambo,M,46.2,54.6,12,2.3,2,314,1
Hassan Mwangi,M,74.6,61.9,9,1.9,5,1679,0
Vincent Simiyu,F,75.9,73.7,1,6.9,4,2971,0
Usha Njoroge,F,100.0,66.9,5,2.8,5,727,0
David Waweru,M,72.1,60.7,5,0.5,2,2962,0
Esther Osei,F,79.5,64.6,0,1.7,1,7718,0
Quinter Kamau,F,74.5,100.0,6,2.7,7,17996,1
Dennis Njoroge,M,57.5,57.0,7,1.7,4,99,0
Grace Mutua,M,92.1,61.6,1,2.0,5,806,0
Zainab Muthoni,F,86.3,76.9,7,1.7,7,1115,0
Brian Odhiambo,M,86.9,77.9,8,0.2,6,1528,0
Hassan Odhiambo,F,61.4,79.4,5,5.1,5,832,0
Dennis Odhiambo,F,96.0,69.5,4,4.5,2,683,0
Boniface Chebet,M,54.0,37.4,11,5.3,7,9274,1
Usha Auma,F,83.8,87.4,8,1.1,2,7522,0
Francis Waweru,F,100.0,37.4,12,1.8,3,144,0
James Auma,M,60.1,63.4,11,4.8,7,1241,0
Linet Njenga,M,66.5,44.4,10,4.6,7,1558,0
Yvonne Odhiambo,M,76.5,56.8,8,3.5,5,819,0
Francis Muthoni,F,67.4,63.9,0,2.2,2,2974,0
Cynthia Rotich,M,51.7,63.8,10,12.2,6,3068,1
Oliver Mwangi,M,76.0,65.6,2,2.1,0,5701,0
Zainab Nyambura,M,59.1,87.0,8,3.0,4,4051,0
Sharon Njenga,M,82.1,66.2,10,5.7,0,2346,0
Boniface Koech,F,61.2,53.6,1,3.9,4,3180,0
Hassan Otieno,F,98.2,75.4,11,2.1,6,961,0
Wanjiku Odhiambo,M,63.3,79.4,3,2.9,7,2697,0
Wanjiku Odhiambo,F,70.2,35.9,3,7.9,7,2015,0
Naomi Kamau,M,87.2,68.8,1,1.6,5,429,0
James Wekesa,M,56.5,70.6,14,0.8,3,833,0
Zainab Achieng,F,78.4,52.6,2,1.9,2,1035,0
Purity Wekesa,F,94.6,82.8,12,9.5,2,7743,0
Robert Achieng,M,50.9,55.3,2,0.5,2,786,1
Purity Simiyu,M,77.8,60.3,0,24.0,5,1024,0
James Nyambura,F,78.9,54.9,5,3.9,4,1383,0
Naomi Rotich,M,86.7,58.3,7,20.9,7,3270,0
Yvonne Wekesa,F,56.4,38.3,11,14.0,6,378,0
Grace Kibet,M,55.2,32.1,2,3.0,2,9234,1
Oliver Njenga,M,82.8,86.7,4,1.1,0,6020,0
Aisha Njoroge,F,79.5,42.8,0,0.9,2,2583,0
James Waweru,F,78.8,40.2,9,1.4,7,3363,0
Sharon Wekesa,F,80.2,19.2,6,6.2,5,50,1
Boniface Juma,F,64.8,46.5,9,1.6,6,1242,0
Aisha Mutua,F,78.5,34.2,12,2.1,3,4764,1
Naomi Osei,F,79.4,87.6,0,3.0,6,242,0
Purity Mwangi,F,64.3,76.2,11,12.2,0,995,0
Sharon Moraa,M,100.0,45.6,10,1.0,2,2641,0
Cynthia Muthoni,M,82.1,98.5,8,0.0,2,889,0
Irene Auma,M,57.1,75.7,7,0.3,1,8153,0
Kezia Njenga,F,84.8,52.2,6,11.8,4,421,0
Brian Rotich,F,60.4,13.0,9,5.2,0,4789,1
Vincent Kariuki,F,86.8,99.2,14,1.6,1,2128,0
Kezia Njoroge,M,92.4,33.0,6,1.0,6,4163,1
Linet Kamau,F,62.7,28.4,4,1.7,3,1116,1
Irene Mutua,F,89.5,76.4,4,0.6,4,2168,0
Brian Osei,M,81.2,100.0,10,14.2,0,5831,0
James Kamau,F,87.3,82.9,12,7.7,2,1887,0
Linet Kibet,M,100.0,68.2,4,3.1,6,1338,0
Hassan Muthoni,M,71.3,68.7,0,10.0,0,2305,0
Vincent Osei,F,63.7,73.4,7,1.4,2,3791,0
Oliver Kariuki,F,61.7,71.7,11,6.3,7,1759,0
Linet Njoroge,F,62.8,63.1,10,9.7,4,8385,0
Moses Wekesa,M,73.8,59.9,0,2.2,7,1048,0
Aisha Osei,M,80.1,56.9,3,7.1,7,1936,0
Kezia Nyambura,M,79.2,44.4,14,1.7,2,4243,0
Amina Njoroge,F,87.4,52.9,8,1.8,3,3505,0
Esther Owino,F,75.2,27.5,13,0.6,6,5977,1
Dennis Njoroge,F,96.8,56.2,8,2.9,5,17242,1
Yvonne Mwangi,F,71.0,40.2,4,6.5,2,1670,0
Brian Achieng,M,100.0,38.1,3,14.1,3,353,0
Xavier Kibet,M,84.4,61.2,2,4.6,5,93,0
Cynthia Auma,M,62.1,83.1,2,9.9,6,3893,0
Grace Mutua,M,58.9,74.5,11,8.6,7,6215,0
Usha Moraa,F,82.2,29.7,4,1.0,4,748,1
Thomas Auma,F,71.6,40.2,9,3.3,4,518,0
Yvonne Otieno,F,85.7,74.9,0,0.6,6,193,0
Boniface Kibet,M,82.1,40.3,4,5.7,6,5190,0
Naomi Adhiambo,M,73.9,54.0,5,15.0,0,1119,0
Brian Chebet,F,62.3,67.9,6,0.7,3,1541,0
Vincent Koech,F,52.3,40.6,11,6.6,7,2096,1
Purity Njoroge,M,68.3,59.9,8,5.0,3,5488,0
Grace Koech,F,87.8,34.0,2,4.4,6,3157,1
Cynthia Owino,M,78.2,47.2,14,2.5,1,2864,0
Naomi Kariuki,M,56.3,63.8,1,2.2,1,580,0
Hassan Moraa,M,77.6,29.3,13,0.2,5,2160,1
Esther Njoroge,F,80.8,65.9,2,1.2,5,3770,0
Brian Mutua,F,61.7,57.6,11,0.1,1,10865,0
Linet Owino,M,77.3,67.9,8,4.4,6,675,0
Amina Mutua,F,75.9,62.0,11,0.6,6,29,0
Naomi Nyambura,M,57.9,82.6,6,10.3,5,235,0
Vincent Njenga,M,80.4,60.3,8,3.7,2,1414,0
Caroline Achieng,M,83.4,50.3,12,6.0,6,5153,0
Amina Owino,M,91.2,60.2,1,2.6,1,22,0
Caroline Simiyu,F,90.8,67.8,4,4.1,3,1830,0
Usha Juma,M,54.3,58.9,12,14.3,6,1198,1
Esther Mwangi,M,60.9,58.7,3,0.4,7,162,0
Francis Adhiambo,F,82.7,45.4,14,1.5,6,1795,0
Sharon Simiyu,M,82.7,46.1,1,7.6,2,882,0
Amina Nyambura,M,82.7,32.8,8,0.5,5,1301,1
Yvonne Mutua,F,100.0,89.5,8,0.4,6,3669,0
Naomi Njoroge,F,83.6,35.6,5,2.2,4,2212,0
James Achieng,F,92.0,45.5,10,0.5,0,399,0
Quinter Achieng,M,89.3,45.1,5,4.4,1,9765,0
Cynthia Koech,F,84.8,74.1,7,1.3,7,3031,0
Linet Mwangi,F,70.3,52.7,5,11.3,7,4356,0
Yvonne Owino,M,86.4,80.5,0,7.7,7,248,0
Quinter Koech,M,63.4,45.9,3,6.0,4,145,0
Dennis Moraa,M,71.4,63.0,12,4.8,7,59,0
David Odhiambo,M,67.7,43.0,6,10.0,7,628,0
Usha Chebet,M,76.2,96.6,12,1.3,5,1605,0
Grace Adhiambo,F,100.0,36.6,12,10.3,3,8238,0
Hassan Osei,F,47.0,63.6,1,7.8,0,1832,1
Xavier Moraa,F,85.3,69.4,8,6.9,4,1029,0
David Rotich,M,50.8,65.4,7,4.1,0,2476,1
Xavier Otieno,M,67.9,54.7,7,1.4,1,356,0
Moses Nyambura,M,91.3,55.7,6,2.8,5,2821,0
Francis Koech,F,76.0,58.8,3,7.9,6,2521,0
Wanjiku Waweru,F,58.8,55.4,1,0.2,3,4711,0
Thomas Njenga,M,64.3,75.3,2,7.6,5,12957,1
Grace Moraa,F,85.2,97.8,11,1.4,0,867,0
Caroline Koech,M,64.0,48.0,5,0.8,4,2138,0
Xavier Osei,F,78.2,33.3,11,0.6,1,7186,1
Zainab Odhiambo,F,75.7,56.4,11,0.1,1,4614,0
Linet Odhiambo,F,65.2,100.0,4,3.7,5,2005,0
Aisha Kibet,M,100.0,43.5,11,1.2,6,8722,0
Grace Mwangi,F,84.5,87.5,7,22.7,4,177,0
Dennis Njenga,F,44.6,88.2,5,4.3,6,8021,1
Zainab Njoroge,M,77.8,48.0,5,0.7,6,155,0
Irene Achieng,F,65.1,68.2,0,5.8,7,2378,0
Brian Simiyu,M,87.8,87.3,3,11.4,4,6634,0
Moses Kibet,M,63.1,51.2,4,6.8,0,914,0
Wanjiku Waweru,M,73.3,54.3,11,0.4,5,1917,0
Yvonne Adhiambo,M,82.6,47.5,10,11.3,5,1176,0
Linet Owino,M,88.0,39.7,2,7.9,7,9119,0
Brian Simiyu,F,57.0,46.3,12,0.9,2,5206,0
Caroline Auma,M,70.0,36.0,8,0.3,5,3703,0
Boniface Mutua,M,67.9,58.6,0,4.1,1,2657,0
Hassan Mutua,M,65.2,44.1,5,0.8,0,5154,0
Amina Nyambura,M,100.0,62.2,5,9.0,4,1494,0
James Rotich,F,81.1,30.0,9,2.2,5,1780,1
Esther Achieng,M,56.1,64.0,4,12.2,0,3928,0
Wanjiku Njoroge,F,88.8,73.0,11,4.2,7,1328,0
Purity Chebet,M,100.0,22.1,14,1.0,5,198,1
Aisha Simiyu,F,90.5,64.7,4,0.8,4,232,0
Wanjiku Juma,M,52.2,80.1,9,4.3,3,368,1
Moses Muthoni,M,67.7,36.2,13,7.2,4,6113,0
Purity Koech,F,94.0,88.1,12,7.6,4,1917,0
Vincent Muthoni,M,64.4,65.5,4,1.6,4,3744,0
Moses Koech,F,81.7,45.3,5,1.1,5,1497,0
Yvonne Wekesa,M,86.6,57.0,7,0.1,2,898,0
Cynthia Mutua,F,61.1,68.0,1,5.7,4,1279,0
Grace Odhiambo,M,74.1,59.4,5,0.4,7,4742,0
Francis Otieno,M,26.4,67.7,0,2.7,1,2944,1
Dennis Simiyu,F,59.6,41.4,3,4.6,1,8324,0
Grace Muthoni,M,71.2,61.0,13,13.8,7,3416,0
Wanjiku Auma,M,56.3,32.6,9,1.9,0,2533,1
Vincent Njoroge,M,99.5,56.0,2,1.4,2,2826,0
Quinter Nyambura,M,53.5,41.7,8,5.3,0,8561,1
Aisha Osei,M,68.4,44.8,2,4.8,7,4656,0
Naomi Owino,M,77.0,80.2,14,2.0,1,73,0
James Rotich,F,96.6,77.6,5,13.2,6,2292,0
Purity Chebet,F,53.5,69.0,0,9.3,1,3498,1
Dennis Njenga,F,92.4,38.3,11,1.3,3,4143,0
Hassan Kibet,M,75.2,52.3,5,1.4,4,719,0
Boniface Mwangi,F,60.3,79.8,3,3.6,6,6056,0
Caroline Owino,M,81.9,60.6,7,7.4,1,9360,0
Aisha Auma,M,78.0,99.7,12,0.2,5,810,0
Thomas Njenga,M,66.0,65.1,10,5.9,5,6427,0
Quinter Njenga,M,76.0,61.5,8,5.2,0,306,0
Sharon Adhiambo,F,69.2,52.4,3,1.3,6,172,0
Xavier Njoroge,M,76.7,60.4,9,5.7,0,415,0
Francis Kariuki,F,84.9,55.3,11,14.1,4,178,0
Usha Achieng,M,98.8,70.7,9,0.2,4,5593,0
David Rotich,F,56.4,75.2,5,1.9,3,183,0
Boniface Rotich,F,100.0,43.9,0,2.9,7,951,0
Wanjiku Owino,F,45.7,34.0,3,11.5,7,329,1
Oliver Achieng,F,72.7,24.9,6,16.4,2,1050,1
Grace Mwangi,F,83.8,67.1,11,2.9,0,285,0
Purity Rotich,F,79.2,38.1,14,6.9,4,3308,0
Yvonne Odhiambo,M,65.7,19.2,0,3.8,7,429,1
Robert Mutua,F,71.9,65.0,7,3.9,0,5729,0
Francis Rotich,M,67.6,100.0,11,1.6,4,5098,0
Kezia Nyambura,F,66.2,57.9,9,1.2,1,41,0
Cynthia Kamau,M,87.7,73.1,11,1.7,0,6782,0
Francis Adhiambo,F,80.4,59.5,10,4.1,1,88,0
Vincent Muthoni,F,64.6,56.2,5,0.1,0,822,0
Robert Njenga,M,88.5,74.5,4,11.9,2,99,0
Hassan Nyambura,F,79.6,52.8,9,0.8,3,1228,0
Vincent Koech,F,87.2,62.8,10,1.2,5,2164,0
James Adhiambo,F,84.4,63.8,14,3.7,7,4778,0
Yvonne Rotich,M,62.6,46.0,13,6.2,5,1237,0
Usha Kariuki,F,66.6,75.9,8,0.5,5,3667,0
Aisha Nyambura,M,86.2,54.9,1,1.9,1,623,0
Esther Kibet,F,84.2,44.4,4,17.3,6,4166,0
Irene Njenga,F,74.7,67.7,5,1.5,4,808,0
Vincent Chebet,M,76.8,41.8,6,1.9,5,465,0
Vincent Njoroge,F,94.2,58.5,4,9.1,2,615,0
Aisha Nyambura,F,66.1,57.8,8,0.3,5,603,0
Sharon Chebet,M,83.2,77.5,0,3.1,0,2158,0
Grace Muthoni,F,72.0,66.5,6,2.4,1,5589,0
Robert Kamau,M,71.7,57.5,9,1.9,6,249,0
Kezia Moraa,M,91.5,72.7,6,1.7,0,3682,0
Hassan Osei,M,87.4,83.0,3,0.5,6,3187,0
Aisha Moraa,F,87.2,68.0,8,1.9,0,6179,0
Linet Kamau,M,94.6,58.2,13,0.2,0,840,0
Robert Odhiambo,M,75.3,34.4,11,7.6,7,1794,1
Zainab Owino,F,85.2,38.8,10,2.5,3,7804,0
Vincent Kibet,M,70.3,52.5,4,2.9,3,3236,0
Naomi Adhiambo,F,79.9,47.0,3,11.2,4,1477,0
Grace Moraa,F,73.0,54.6,12,5.4,1,423,0
Yvonne Otieno,F,76.5,59.0,6,0.0,2,913,0
Aisha Kariuki,F,83.9,67.5,3,14.3,2,2611,0
Thomas Kamau,M,62.7,56.7,14,1.4,2,3799,0
Quinter Rotich,M,100.0,66.8,2,0.6,7,399,0
Linet Owino,M,59.9,59.2,8,7.3,0,2746,0
Aisha Mwangi,M,56.8,22.4,10,3.5,3,2398,1
Cynthia Nyambura,M,92.4,41.1,7,2.8,1,2164,0
Robert Simiyu,F,86.9,55.4,0,1.4,0,3515,0
Linet Owino,M,84.4,36.2,6,4.0,6,5450,0
David Kibet,M,84.4,68.8,8,1.6,3,1170,0
James Koech,M,74.8,85.6,7,11.6,3,6595,0
Francis Kariuki,F,61.5,79.9,7,1.2,5,525,0
Aisha Achieng,F,76.1,54.2,12,10.8,5,570,0
Dennis Mutua,M,64.8,84.8,5,4.1,7,931,0
Brian Waweru,F,89.6,60.7,10,8.8,1,382,0
Esther Owino,M,72.8,51.9,3,6.2,6,785,0
Hassan Njoroge,M,62.6,47.0,7,6.0,1,338,0
Vincent Rotich,F,70.2,52.6,2,2.0,1,5174,0
Usha Njoroge,F,81.2,51.0,12,1.3,7,449,0
Sharon Otieno,M,66.5,61.1,8,1.2,7,4127,0
Robert Juma,M,62.7,60.9,12,9.7,0,147,0
Sharon Wekesa,F,78.7,58.1,1,8.6,4,8900,0
Oliver Kariuki,M,78.7,65.9,1,2.9,7,3726,0
Purity Njoroge,F,67.4,79.4,11,0.7,1,20,0
Purity Auma,M,67.9,75.1,12,2.4,5,4330,0
Thomas Njenga,F,78.5,31.3,14,4.8,4,2165,1
Kezia Odhiambo,M,53.3,12.0,11,3.0,0,4534,1
Quinter Owino,M,53.9,74.8,6,7.6,4,2218,1
Linet Simiyu,F,64.2,33.4,11,30.2,2,3074,1
James Odhiambo,M,71.8,54.0,9,1.1,6,4630,0
Naomi Kibet,M,79.7,36.9,3,3.1,4,1558,0
Amina Owino,F,97.1,25.6,9,2.8,1,8,1
David Juma,M,87.9,67.7,7,1.8,0,5690,0
Esther Nyambura,M,72.6,71.7,8,1.1,6,1438,0
Xavier Kibet,M,74.7,47.6,6,0.3,1,2056,0
Yvonne Odhiambo,F,60.0,11.4,4,10.9,6,23,1
James Owino,F,74.7,48.2,7,2.7,5,2032,0
Caroline Odhiambo,F,70.7,65.1,3,3.4,2,12912,1
Amina Odhiambo,M,79.8,31.4,1,12.4,5,978,1
Zainab Adhiambo,M,62.6,61.3,10,7.5,1,1510,0
Kezia Achieng,M,82.8,57.7,14,0.7,1,3486,0
Linet Otieno,M,98.0,68.4,11,4.2,1,5059,0
David Waweru,F,73.4,60.2,5,2.9,3,1621,0
Boniface Simiyu,M,81.0,40.5,8,8.0,2,1112,0
Wanjiku Wekesa,M,85.4,79.5,0,6.4,6,8333,0
James Muthoni,M,69.0,55.1,10,5.9,7,3392,0
Grace Adhiambo,F,78.4,57.5,9,2.1,1,380,0
Purity Osei,M,75.2,41.2,11,8.2,1,214,0
Linet Kamau,M,76.5,50.0,6,0.3,6,1982,0
Grace Koech,M,63.4,42.1,9,0.9,7,746,0
Caroline Simiyu,M,75.4,54.9,8,2.0,5,879,0
Brian Odhiambo,M,82.5,88.8,9,0.4,5,6304,0
Oliver Koech,F,96.8,33.3,8,1.3,1,282,1
Brian Odhiambo,M,89.4,29.0,9,8.9,0,3770,1
David Koech,M,100.0,84.5,10,14.8,3,949,0
Caroline Kamau,M,63.5,54.2,12,1.8,5,4285,0
Caroline Njenga,M,88.1,46.0,2,1.5,0,3845,0
Grace Simiyu,M,77.8,76.7,10,1.6,3,22,0
Esther Owino,M,100.0,47.1,12,1.6,1,2135,0
Usha Rotich,M,62.9,90.9,4,0.2,2,450,0
Boniface Wekesa,M,62.4,70.2,7,13.1,4,6035,0
Grace Kariuki,M,66.0,49.2,7,1.2,4,6157,0
Hassan Simiyu,M,43.1,96.8,3,2.7,1,1626,1
Esther Kamau,F,67.1,47.1,14,0.0,5,1763,0
Irene Koech,F,63.6,71.4,14,9.8,0,1084,0
Xavier Kariuki,F,77.3,63.4,11,6.6,2,3783,0
Caroline Odhiambo,F,80.1,81.4,10,14.7,6,1333,0
Yvonne Odhiambo,M,100.0,86.1,10,7.6,3,935,0
Sharon Kariuki,F,89.3,58.6,0,1.9,1,1698,0
Kezia Koech,F,66.3,44.4,0,1.4,2,288,0
Grace Kamau,M,61.5,66.3,14,6.0,7,4118,0
Sharon Waweru,F,82.4,45.8,3,2.3,2,38,0
Zainab Kariuki,F,55.2,94.2,5,4.2,5,3103,0
Quinter Muthoni,M,100.0,60.5,7,0.0,7,606,0
Caroline Odhiambo,M,92.7,51.4,5,0.3,3,793,0
Irene Osei,M,68.0,61.3,11,3.8,7,3029,0
Amina Wekesa,F,49.3,33.8,8,4.2,2,14861,1
Francis Auma,F,95.3,40.5,14,7.0,5,4511,0
James Koech,M,73.3,79.6,14,0.7,7,768,0
Amina Osei,M,93.6,46.2,8,3.6,0,581,0
Moses Muthoni,F,51.1,39.2,13,1.1,5,6035,1
Thomas Osei,M,66.0,67.7,1,0.5,0,1762,0
Thomas Otieno,F,75.1,79.3,9,2.6,0,442,0
Robert Achieng,M,75.7,70.9,0,0.9,7,5946,0
Naomi Owino,M,68.2,75.9,1,1.3,7,5080,0
Wanjiku Chebet,F,84.3,44.4,4,1.9,6,12388,1
Caroline Waweru,M,59.0,32.4,3,1.5,6,7215,1
Esther Juma,M,72.9,85.0,3,0.5,2,5727,0
Quinter Moraa,M,76.8,52.2,8,0.5,5,162,0
Caroline Kamau,F,82.7,53.5,10,1.1,6,331,0
Wanjiku Moraa,M,85.7,81.9,7,0.3,0,2525,0
Esther Waweru,M,58.1,68.0,5,4.9,6,2275,0
David Kariuki,M,52.0,66.2,0,1.7,3,1837,1
Thomas Juma,M,94.2,97.0,1,1.6,2,1516,0
Moses Moraa,M,80.0,46.4,5,2.0,5,1693,0
Esther Kibet,M,63.8,74.7,10,5.4,5,2527,0
Yvonne Kibet,F,98.3,59.0,1,10.2,4,6,0
Grace Nyambura,F,76.7,62.8,14,7.1,5,906,0
Amina Chebet,M,92.7,85.5,12,6.5,2,2191,0
Xavier Waweru,F,76.0,67.1,9,3.3,3,3843,0
Quinter Juma,F,100.0,67.7,4,5.9,5,574,0
Naomi Njenga,M,100.0,77.3,13,4.0,4,2375,0
Naomi Njenga,F,71.3,51.4,4,1.2,2,3760,0
Xavier Nyambura,F,89.6,42.9,5,1.2,0,1764,0
Caroline Njoroge,F,84.7,39.2,5,1.8,1,82,0
Xavier Otieno,F,95.5,22.6,13,12.1,1,1790,1
Yvonne Wekesa,F,60.5,95.0,5,4.0,0,1055,0
Amina Kamau,F,85.3,38.1,13,6.6,6,7963,0
Oliver Moraa,F,90.9,54.0,1,2.1,5,399,0
Boniface Mwangi,F,48.6,53.0,13,2.6,7,3171,1
Robert Moraa,M,57.3,63.5,9,0.7,1,162,0
Naomi Owino,M,44.4,72.7,13,0.9,6,1773,1
Aisha Simiyu,F,71.0,73.5,12,8.8,1,2422,0
Amina Muthoni,F,85.8,47.5,14,4.4,0,1061,0
Zainab Simiyu,M,97.5,55.0,13,2.1,5,1821,0
Aisha Chebet,F,76.1,63.1,2,8.1,5,536,0
Xavier Otieno,F,99.4,53.5,13,1.4,6,1088,0
Oliver Wekesa,M,54.3,86.9,5,18.7,0,2911,1
Quinter Otieno,M,49.4,66.8,12,2.1,6,1078,1
Purity Chebet,M,74.2,71.2,7,2.1,5,6900,0
